屬性,機構名稱,區域別,地址,電話,收容對象,立案日期,核定床數,緯度,經度
私立,臺北市私立童音老人長期照顧中心(養護型),內湖區,臺北市內湖區葫洲里004鄰民權東路6段280巷19弄1、3、5、7號1樓,"02-26345131
 02-26345132","養護
長照",89.03,37,25.0715142,121.6023174
私立,臺北市私立湖濱老人長期照顧中心(養護型),內湖區,臺北市內湖區湖濱里010鄰內湖路2段179巷58、60號1樓,02-27933081,養護,89.02,18,25.0828487,121.584259
私立,臺北市私立瑞安老人長期照顧中(養護型),內湖區,臺北市內湖區紫陽里002鄰成功路3段88、90、92號2樓、76巷9號2樓,02-27925292,養護,104.07,33,25.0828487,121.584259
私立,臺北市私立祥家老人養護所,內湖區,臺北市內湖區湖濱里026鄰內湖路2段253巷1弄1.3號1-2樓,02-27922281,養護,87.01,46,25.0823069,121.5873151
私立,臺北市私立文德老人長期照顧中心(養護型),內湖區,臺北市內湖區紫陽里011鄰陽光街70-2、70-3、72、72-1號1樓,02-26581303,養護,94.12,31,25.0823069,121.5873151
公立,臺北市政府社會局老人自費安養中心,文山區,臺北市文山區忠順里009鄰興隆路4段109巷30弄6號,02-29393146,安養,71.12,366,24.9863039,121.5599045
私立,臺北市私立景安老人長期照顧中心(養護型),文山區,臺北市文山區景慶里001鄰溪口街1巷5號1~2樓,02-29325698,養護,99.12,41,24.994049,121.5372867
私立,臺北市私立心慈老人養護所,文山區,臺北市文山區興業里022鄰辛亥路5段120-1號1~4樓,02-29314730,養護,92.04,22,24.997484,121.5495585
私立,臺北市私立慧誠老人長期照顧中心(養護型),文山區,臺北市文山區木柵里025鄰木柵路2段163、165號1~5樓,02-29392222,養護,102.12,48,24.9892293,121.5605302
私立,臺北市私立蓮馨老人長期照顧中心(養護型),文山區,臺北市文山區萬和街6號8樓,02-82300373,養護,103.02,29,25.0019554,121.5647939
私立,臺北市私立慈安老人長期照顧中心(養護型),文山區,臺北市文山區萬有里001鄰興隆路1段2、4號1~4樓,02-29337745,養護,87.08,47,25.0041956,121.5364059
私立,臺北市私立美安老人長期照顧中心(養護型),文山區,臺北市文山區景慶里001鄰溪口街1巷5號3-4樓,02-29316388,養護,99.07,45,24.9914739,121.4996197
私立,臺北市私立景興老人長期照顧中心(養護型),文山區,臺北市文山區景行里021鄰景興路222號3樓,02-29349412,養護,98.09,38,24.9910795,121.5408588
私立,臺北市私立三園老人長期照顧中心(養護型),文山區,臺北市文山區景行里002鄰車前路12號3-4樓,02-29321147,養護,99.01,48,25.0041817,121.4976896
私立,臺北市私立吉祥老人長期照顧中心(養護型),文山區,臺北市文山區木柵里004鄰木柵路3段85巷8弄4-1、4-2號1樓及2、2-1、2-2、4、4-1、4-2號2樓,02-22343511,養護,98.12,43,24.9892605,121.5647431
"公設
民營",臺北市文山老人養護中心,文山區,臺北市文山區興豐里016鄰興隆路2段95巷8號3~6樓,02-89313190,"養護  
",90.02,46,24.9999792,121.5443852
"公設
民營",臺北市兆如老人安養護中心,文山區,臺北市文山區政大里005鄰政大二街129號,02-86616365,"安養
養護
長照
",91.02,453,24.989228,121.5815187
私立,臺北市私立慧華老人長期照顧中心(養護型),文山區,臺北市文山區興隆路2段154巷11號1樓,02-29356272,養護,102.03,30,25.0009376,121.5491447
私立,臺北市私立萬芳老人長期照顧中心(養護型),文山區,臺北市文山區萬和街8號3樓,02-22303000,養護,105.01,48,25.001961,121.5651868
私立,臺北市私立尊暉老人長期照顧中心(養護型),北投區,臺北市北投區石牌路2段343巷17號1~2樓,02-28761997,養護,103.03,26,25.1226794,121.5208577
私立,臺北市私立賢暉老人長期照顧中心(養護型),北投區,臺北市北投區石牌路2段315巷34弄14、16號1樓,02-28710770,養護,91.05,18,25.1232996,121.5205087
私立,臺北市私立高德老人長期照顧中心(養護型),北投區,臺北市北投區磺港路156號1~3樓,02-28982418,養護,106.6,45,25.128669,121.5004217
私立,臺北市私立陽明山老人長期照顧中心(養護型),北投區,臺北市北投區湖山里006鄰紗帽路116號,02-28615006,養護,91.01,36,25.1506603,121.5450105
私立,臺北市私立全家老人長期照顧中心(養護型),北投區,臺北市北投區永和里007鄰行義路96巷1號1~2樓,02-28761692,養護,90.04,29,25.1266799,121.5262766
私立,臺北市私立倚青園老人長期照顧中心(養護型),北投區,臺北市北投區永明里008鄰義理街63巷4弄7、11之1~3號1樓,02-28283533,養護,89.02,31,25.0449049,121.5782657
私立,臺北市私立榮健老人長期照顧中心(養護型),北投區,臺北市北投區建民里016鄰文林北路94巷5弄13號1~2樓、15號2樓,02-28216113,養護,88.12,46,25.1068368,121.514416
私立,臺北市私立全寶老人長期照顧中心(養護型),北投區,臺北市北投區永欣里014鄰石牌路2段315巷16弄2、2-1號1樓,02-28710793,養護,88.11,24,25.1227767,121.5195181
私立,臺北市私立義行老人長期照顧中心(養護型),北投區,臺北市北投區永和里001鄰石牌路2段357巷1號4~6樓,02-28767880,養護,88.11,49,25.1236995,121.5222351
私立,臺北市私立建民老人長期照顧中心(養護型),北投區,臺北市北投區文林里019鄰建民路22、24、26、26之1號1樓,02-28250799,養護,88.01,34,25.1074742,121.5136349
私立,臺北市私立榮祥老人長期照顧中心(養護型),北投區,臺北市北投區文林里019鄰文林北路166巷5弄2號1~2樓、4號1樓,02-28213709,養護,88.09,34,25.1071757,121.5136779
私立,臺北市私立北投老人長期照顧中心(養護型),北投區,臺北市北投區公館路231巷20號1樓,02-28937412,養護,88.09,17,25.1071753,121.5059262
私立,臺北市私立全泰老人長期照顧中心(養護型),北投區,臺北市北投區永和里006鄰行義路105號1~2樓,02-28747739,養護,88.09,41,25.1277894,121.5257463
私立,臺北市私立崇順老人養護所,北投區,臺北市北投區關渡里013鄰知行路52巷1號、54號1~2樓,02-28581979,養護,88.09,27,25.1236061,121.5222894
私立,臺北市私立聖心老人養護所,北投區,臺北市北投區稻香路321號1樓,02-28913890,養護,88.08,18,25.1428782,121.4839658
私立,臺北市私立精英國際老人長期照顧中心(養護型),北投區,臺北市北投區關渡里003鄰關渡路60、62之1號1樓,02-28582701,養護,106.06,26,25.1428767,121.4658928
私立,臺北市私立怡靜老人長期照顧中心(養護型),北投區,臺北市北投區吉利里002鄰致遠二路96巷3弄1、3號1樓,02-28200437,養護,104.04,23,25.1166589,121.5104046
私立,臺北市私立貴族老人長期照顧中心(養護型),北投區,臺北市北投區大同里013鄰大業路452巷2號2~5樓,02-28965555,養護,94.12,42,25.13143,121.4942797
私立,臺北市私立行義老人長期照顧中心(養護型),北投區,臺北市北投區永和里001鄰石牌路2段357巷1號1~3樓,02-28729599,養護,95.09,49,25.1236061,121.5222894
私立,臺北市私立豪門老人長期照顧中心(養護型),北投區,臺北市北投區大同里013鄰大業路452巷2號6~9樓,02-28954492,養護,105.11,42,25.0707537,121.4479905
私立,臺北市私立奇里岸老人長期照顧中心(養護型),北投區,臺北市北投區立農里013鄰西安街2段245號1.2樓,02-28275139,養護,105.06,36,25.1202145,121.5056219
私立,財團法人台灣基督教道生院附設臺北市私立道生院老人長期照顧中心(養護型),北投區,臺北市北投區秀山里002鄰中和街錫安巷112號1.2樓及地下1樓,02-28936161,養護,100.01,88,25.147504,121.4982227
公立,臺北市立浩然敬老院,北投區,臺北市北投區關渡里016鄰知行路75號,02-28581081,"安養
養護",75.02,400,25.1183744,121.4652056
私立,臺北市私立同德老人長期照顧中心(養護型),北投區,臺北市北投區榮華里004鄰明德路306號1-7樓,02-28281328,養護,101.04,41,25.1152358,121.5197225
私立,臺北市私立群英老人長期照顧中心(養護型),松山區,臺北市松山區仁愛里013鄰敦化南路1段7號4樓,02-25791400,養護,93.06,24,25.0559638,121.494586
私立,臺北市私立台大老人長期照顧中心(養護型),松山區,臺北市松山區仁愛里013鄰敦化南路1段7號4樓之1,02-25792816,養護,89.12,24,25.0470498,121.546689
私立,臺北市私立仁仁老人長期照顧中心(養護型),松山區,臺北市松山區新聚里003鄰南京東路5段356號2樓,02-27659900,養護,105.08,34,25.0511142,121.5671029
私立,臺北市私立康壯老人長期照顧中心(養護型),松山區,臺北市松山區吉祥里001鄰八德路4段203、205號1、2樓,02-27686697,養護,103.05,49,25.0489755,121.5611994
私立,臺北市私立倚青苑老人養護所,信義區,臺北市信義區永春里002鄰中坡北路21號1~2樓、23號2樓,02-27477232,養護,89.06,28,25.0449049,121.5782657
私立,臺北市私立康庭老人養護所,信義區,臺北市信義區安康里017鄰信義路6段15巷16號1樓,02-23460684,養護,88.07,29,25.0352633,121.5727186
私立,臺北市私立福安老人長期照顧中心(養護型),南港區,臺北市南港區萬福里 007鄰 玉成街140巷21、23號2樓,02-27850584,養護,88.01,20,25.043969,121.5801828
私立,臺北市私立葉媽媽老人長期照顧中心(養護型),萬華區,臺北市萬華區錦德里012鄰西園路2段243之13號1~4樓,02-23329986,養護,106.05,30,25.0262694,121.4907824
私立,財團法人天主教失智老人社會福利基金會附設臺北市私立聖若瑟失智老人養護中心,萬華區,臺北市萬華區保德里001鄰德昌街125巷11號1~4樓、13號1樓,"02-23046715~6
02-23046602",失智,90.03,62,25.02387,121.4943538
私立,臺北市私立葉爸爸老人長期照顧中心(養護型),萬華區,臺北市萬華區錦德里012鄰西園路2段243之14號1~4樓,02-23329985,養護,106.05,31,25.0262694,121.4907824
私立,臺北市私立中山老人長期照顧中心(養護型),萬華區,臺北市萬華區菜園里001鄰峨眉街124號、124之1號1樓,02-23759590,養護,105.08,26,25.0445599,121.4994802
私立,財團法人臺北市私立恆安老人長期照顧中心(長期照護型),萬華區,臺北市萬華區騰雲里004鄰水源路187號,02-23327973,長照,83.01,117,25.0327858,121.5116369
私立,財團法人臺北市私立愛愛院,萬華區,臺北市萬華區糖?里006鄰大理街175巷27號,02-23060493,養護,48.11,238,25.0345651,121.4929664
私立,臺北市私立軒儀老人長期照顧中心(養護型),萬華區,臺北市萬華區華江里028鄰和平西路3段384號1樓,02-23088661,養護,98.07,47,25.0353341,121.488791
